season,season_type,game_type,team,week,gsis_id,position,player_name,first_name,last_name,injury_type,report_secondary_injury,status,practice_primary_injury,practice_secondary_injury,practice_participation,scraped_at,source
2026,REG,REG,LAC,1,00-0041550,WR,Brenen Thompson,Brenen,Thompson,,,Full,Hip,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LV,1,00-0039338,TE,Brock Bowers,Brock,Bowers,Knee,,Out,Knee,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,LV,1,00-0040122,RB,Ashton Jeanty,Ashton,Jeanty,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIA,1,00-0034779,LB,Ronnie Harrison,Ronnie,Harrison,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIA,1,00-0040182,S,Dante Trader Jr.,Dante,Trader,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIA,1,00-0041524,TE,Will Kacmarek,Will,Kacmarek,,,Full,Calf,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIA,1,00-0041579,TE,Seydou Traore,Seydou,Traore,,,Full,Thumb,Achilles,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIN,1,00-0029606,S,Harrison Smith,Harrison,Smith,,,Limited,Not injury related - resting player,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIN,1,00-0036616,T,Christian Darrisaw,Christian,Darrisaw,,,DNP,Not injury related - resting player,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIN,1,00-0041053,T,Caleb Tiernan,Caleb,Tiernan,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIN,1,00-0041054,S,Jakobe Thomas,Jakobe,Thomas,,,Full,Illness,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,MIN,1,00-0041354,S,Jacob Thomas,Jacob,Thomas,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NE,1,00-0036981,DT,Christian Barmore,Christian,Barmore,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NE,1,00-0037413,C,Ben Brown,Timothy,Brown,Knee,,Out,Knee,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NE,1,00-0040734,RB,TreVeyon Henderson,TreVeyon,Henderson,Ankle,,Out,Ankle,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NO,1,00-0027962,LB,Cameron Jordan,Cameron,Jordan,Hamstring,,Out,Hamstring,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NO,1,00-0033860,DT,Davon Godchaux,Davon,Godchaux,,,Full,Not injury related - resting player,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NO,1,00-0033906,RB,Alvin Kamara,Alvin,Kamara,Knee,,Questionable,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NO,1,00-0039373,RB,Audric Estimé,Audric,Estime,Thigh,,Out,Thigh,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NO,1,00-0041041,TE,Oscar Delp,Oscar,Delp,Hamstring,,Out,Hamstring,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0031270,DT,Shelby Harris,Shelby,Harris,,,Full,Achilles,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0033376,FB,Patrick Ricard,Patrick,Ricard,,,Full,Toe,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0036386,T,Andrew Thomas,Andrew,Thomas,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0039337,WR,Malik Nabers,Malik,Nabers,Knee,,Questionable,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0039446,C,Bryan Hudson,Bryan,Hudson,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYG,1,00-0039847,TE,Theo Johnson,Theodore,Johnson,,,Full,Shoulder,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0033375,WR,Tim Patrick,Timothy,Patrick,Groin,,Out,Groin,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0036842,RB,Kene Nwangwu,Kene,Nwangwu,Back,,Doubtful,Back,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0036902,DE,Joseph Ossai,Joseph,Ossai,Foot,,Out,Foot,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0038120,RB,Breece Hall,Breece,Hall,,,Full,Groin,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0039798,RB,Isaiah Davis,Isaiah,Davis,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0041032,TE,Kenyon Sadiq,Kenyon,Sadiq,,,Full,Groin,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,NYJ,1,00-0041038,CB,D'Angelo Ponds,D'Angelo,Ponds,Calf,,Doubtful,Calf,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,PHI,1,00-0036224,LB,Jonathan Greenard,Jonathan,Greenard,Pectoral,,Out,Pectoral,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,PHI,1,00-0041483,TE,Eli Stowers,Eli,Stowers,Hamstring,Quadricep,Out,Hamstring,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,PIT,1,00-0039167,CB,Joey Porter Jr.,Joey,Porter,Back,,Questionable,Back,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0036363,T,Josh Jones,Josh,Jones,,,Limited,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0038765,S,Ty Okada,Tyler,Okada,Hamstring,,Out,Hamstring,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0038797,RB,Emanuel Wilson,Emanuel,Wilson,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0039020,G,Anthony Bradford,Anthony,Bradford,,,Full,Knee,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0039793,TE,AJ Barner,AJ,Barner,,,Full,Oblique,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0040648,WR,Tory Horton,Tory,Horton,Hamstring,,Questionable,Hamstring,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0040733,S,Nick Emmanwori,Nicholas,Emmanwori,Ankle,,Questionable,Ankle,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SEA,1,00-0040873,CB,Julian Neal,Julian,Neal,,,Full,Quadricep,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0029892,FB,Kyle Juszczyk,Kyle,Juszczyk,,,Limited,Finger,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0033288,TE,George Kittle,George,Kittle,,,Limited,Achilles,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0034982,LB,Dre Greenlaw,Keaundre,Greenlaw,,,Full,Achilles,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0035413,LB,Luke Gifford,Luke,Gifford,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0035717,DE,Nick Bosa,Nicholas,Bosa,,,Limited,Knee,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0039345,CB,Renardo Green,Renardo,Green,,,Full,Hamstring,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0040152,CB,Upton Stout,Upton,Stout,,,Full,Achilles,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0040721,DT,Alfred Collins,Alfred,Collins,Knee,,Out,Knee,,DNP,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0041363,DT,James Thompson Jr.,James,Thompson,Hamstring,,Questionable,Hamstring,,Limited,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0041556,DE,Romello Height,Romello,Height,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
2026,REG,REG,SF,1,00-0041557,DT,Gracen Halton,Gracen,Halton,,,Full,Ankle,,Full,2026-09-15 08:16:02.365138,nflreadpy
