player_id,player_name,game_id,season,week,team,opponent,rushing_yards,rush_tds,rush_attempts,game_date,ypc,rushing_yards_L3,rushing_yards_L5,rushing_yards_L10,rushing_yards_std_L5,rush_tds_L3,rush_tds_L5,rush_tds_L10,rush_tds_std_L5,rush_attempts_L3,rush_attempts_L5,rush_attempts_L10,rush_attempts_std_L5
00-0034857,J.Allen,2023_03_BUF_WAS,2023,3,BUF,WAS,46.0,1.0,3.0,2023-09-24,15.3,19.080897276645704,23.939648920465995,31.958023308914655,19.178599493609017,0.14576066300680207,0.22608946449837997,0.3123100003425796,0.4745664662733594,4.780362247915081,5.581344374305733,6.501564065524761,2.6890445383167645
00-0034857,J.Allen,2023_04_MIA_BUF,2023,4,BUF,MIA,17.0,1.0,4.0,2023-10-01,4.2,32.54044863832285,31.293099280310663,34.511109980021075,19.503731254410166,0.572880331503401,0.48405964299892,0.43734454573483783,0.562595550192549,3.8901811239575403,4.720896249537155,5.864916053611168,2.582937821792313
00-0034857,J.Allen,2023_05_JAX_BUF,2023,5,BUF,JAX,14.0,1.0,4.0,2023-10-08,3.5,24.770224319161425,26.528732853540447,31.327271801835423,17.616611209807317,0.7864401657517005,0.65603976199928,0.5396455374194127,0.5338090220850676,3.94509056197877,4.480597499691437,5.525840407500047,2.142911706947742
00-0034857,J.Allen,2023_06_NYG_BUF,2023,6,BUF,NYG,11.0,0.0,2.0,2023-10-15,5.5,19.385112159580714,22.352488569026967,28.176858746956253,15.827166554845965,0.8932200828758503,0.7706931746661867,0.6233463487977012,0.47205037933469646,3.972545280989385,4.320398333127625,5.248414878863675,1.7679196309792498
00-0034857,J.Allen,2023_07_BUF_NE,2023,7,BUF,NE,17.0,1.0,7.0,2023-10-22,2.4,15.192556079790357,18.568325712684647,25.053793520236933,14.240758011596808,0.44661004143792515,0.5137954497774578,0.510010649016301,0.5599513160854848,2.9862726404946924,3.5469322220850836,4.6577939917975515,1.8919085011515195
00-0034857,J.Allen,2023_08_TB_BUF,2023,8,BUF,TB,41.0,1.0,7.0,2023-10-26,5.9,16.09627803989518,18.0455504751231,23.589467425648397,11.65687325296788,0.7233050207189626,0.6758636331849719,0.599099621922428,0.5241140694286948,4.993136320247347,4.6979548147233885,5.083649629652542,2.3871205191741875
00-0034857,J.Allen,2023_09_BUF_CIN,2023,9,BUF,CIN,44.0,1.0,8.0,2023-11-05,5.5,28.54813901994759,25.69703365008207,26.755018802803235,15.39322739493592,0.8616525103594813,0.7839090887899813,0.6719905997547138,0.4607764349887839,5.996568160123673,5.465303209815593,5.432076969715715,2.2958560815814977
00-0034857,J.Allen,2023_10_DEN_BUF,2023,10,BUF,DEN,13.0,1.0,4.0,2023-11-13,3.2,36.2740695099738,31.79802243338805,29.890469929566283,15.843698855481964,0.9308262551797406,0.8559393925266543,0.7316286725265839,0.39308293484748064,6.998284080061836,6.310202139877062,5.898972066131039,2.30187002310528
00-0034857,J.Allen,2023_11_NYJ_BUF,2023,11,BUF,NYJ,15.0,0.0,5.0,2023-11-19,3.0,24.6370347549869,25.532014955592032,26.819475396917866,16.294344209825976,0.9654131275898703,0.9039595950177697,0.7804234593399322,0.3298095087527927,5.499142040030918,5.5401347599180415,5.553704417743577,2.2394001785536632
00-0034857,J.Allen,2023_12_BUF_PHI,2023,12,BUF,PHI,81.0,2.0,9.0,2023-11-26,9.0,19.81851737749345,22.021343303728024,24.670479870205526,14.415817959341172,0.48270656379493515,0.6026397300118466,0.6385282849144899,0.5472662612115561,5.249571020015459,5.360089839945362,5.453030887244744,1.8504907113584876
00-0034857,J.Allen,2023_14_BUF_KC,2023,14,BUF,KC,32.0,1.0,10.0,2023-12-10,3.2,50.409258688746725,41.680895535818685,34.91221080289543,33.238364227806514,1.2413532818974675,1.0684264866745643,0.8860685967482189,0.8614291403318779,7.1247855100077295,6.573393226630241,6.097934362291155,2.4419541393936655
00-0034857,J.Allen,2023_15_DAL_BUF,2023,15,BUF,DAL,24.0,1.0,8.0,2023-12-17,3.0,41.20462934437336,38.45393035721246,34.382717929641714,27.61447383203347,1.1206766409487336,1.045617657783043,0.9067833973394519,0.7042779157149439,8.562392755003865,7.715595484420161,6.807400841874581,2.690165733466784
00-0034857,J.Allen,2023_16_BUF_LAC,2023,16,BUF,LAC,15.0,2.0,5.0,2023-12-23,3.0,32.60231467218668,33.63595357147497,32.49495103334322,23.79926527121802,1.0603383204743668,1.030411771855362,0.9237318705504607,0.5755429052581321,8.281196377501931,7.810396989613441,7.024237052442839,2.2016197285513526
00-0034857,J.Allen,2023_17_NE_BUF,2023,17,BUF,NE,44.0,2.0,11.0,2023-12-31,4.0,23.80115733609334,27.423969047649983,29.31405084546263,21.773268724374063,1.5301691602371834,1.3536078479035747,1.1194169849958313,0.6942422844087306,6.640598188750966,6.873597993075627,6.656193951998686,2.3292489174016286
00-0034857,J.Allen,2023_18_BUF_MIA,2023,18,BUF,MIA,67.0,0.0,15.0,2024-01-07,4.5,33.90057866804667,32.949312698433324,31.984223419014878,19.808425230458546,1.7650845801185917,1.5690718986023833,1.2795229877238619,0.6613446850920847,8.820299094375482,8.249065328717085,7.445976869817106,2.889067264363933
00-0034857,J.Allen,2023_19_PIT_BUF,2023,19,BUF,PIT,74.0,1.0,8.0,2024-01-15,9.2,50.45028933402334,44.29954179895555,38.35072825192126,24.158885011377595,0.8825422900592959,1.046047932401589,1.0468824445013414,0.9876586968098123,11.910149547187741,10.49937688581139,8.81943562075945,4.2689844653414575
00-0034857,J.Allen,2023_20_KC_BUF,2023,20,BUF,KC,72.0,2.0,12.0,2024-01-21,6.0,62.22514466701167,54.19969453263704,44.83241402429921,25.182011642656,0.9412711450296479,1.0306986216010594,1.0383583636829157,0.8067850628334452,9.955074773593871,9.666251257207595,8.670447326075912,3.7262221296476192
00-0034857,J.Allen,2024_01_ARI_BUF,2024,1,BUF,ARI,39.0,2.0,9.0,2024-09-08,4.3,67.11257233350584,60.133129688424695,49.771975110790265,22.600219883526584,1.470635572514824,1.353799081067373,1.213202297558749,0.8336183333371462,10.977537386796936,10.444167504805064,9.275820539516655,3.2816721033147225
00-0034857,J.Allen,2024_02_BUF_MIA,2024,2,BUF,MIA,2.0,0.0,2.0,2024-09-12,1.0,53.05628616675292,53.08875312561647,47.81343418155567,21.553918330992747,1.7353177862574118,1.5691993873782488,1.35625642527534,0.7610998053349609,9.988768693398468,9.96277833653671,9.225671350513625,2.7854838043144254
00-0034857,J.Allen,2024_03_JAX_BUF,2024,3,BUF,JAX,44.0,0.0,6.0,2024-09-23,7.3,27.52814308337646,36.05916875041098,39.483718875818276,32.167236803824856,0.8676588931287059,1.0461329249188327,1.1096643479525508,1.0344942014474818,5.994384346699234,7.308518891024474,7.9119129231475105,4.77339987426425
00-0034857,J.Allen,2024_04_BUF_BAL,2024,4,BUF,BAL,21.0,0.0,5.0,2024-09-29,4.2,35.76407154168823,38.70611250027399,40.30486089839677,26.595799049842,0.43382944656435296,0.6974219499458886,0.9079071937793597,1.0086875277898315,5.997192173349617,6.87234592734965,7.564292391666144,3.958010616713844
00-0034857,J.Allen,2024_05_BUF_HOU,2024,5,BUF,HOU,54.0,0.0,4.0,2024-10-06,13.5,28.382035770844116,32.804075000182664,36.79488618959736,23.63562568167515,0.21691472328217648,0.46494796663059246,0.7428331585467488,0.9018928621379462,5.498596086674809,6.2482306182331,7.098057411363208,3.379008507293787
00-0034857,J.Allen,2024_06_BUF_NYJ,2024,6,BUF,NYJ,18.0,1.0,9.0,2024-10-14,2.0,41.191017885422056,39.86938333345511,39.923088700579655,22.298542303329246,0.10845736164108824,0.30996531108706166,0.6077725842655217,0.7760946346818126,4.749298043337404,5.4988204121554,6.534774245660807,3.0026385292510227
00-0034857,J.Allen,2024_07_TEN_BUF,2024,7,BUF,TEN,1.0,0.0,3.0,2024-10-20,0.3,29.595508942711028,32.57958888897008,35.93707257320153,21.548458959038232,0.5542286808205441,0.5399768740580411,0.6790866598536087,0.7306243123102412,6.874649021668702,6.665880274770267,6.982997110086115,3.0684899487443453
00-0034857,J.Allen,2024_08_BUF_SEA,2024,8,BUF,SEA,25.0,0.0,7.0,2024-10-27,3.6,15.297754471355514,22.053059259313386,29.584877559892163,24.21935081946536,0.27711434041027205,0.35998458270536077,0.5556163580620435,0.6609596454084866,4.937324510834351,5.443920183180178,6.258815817343184,3.1638668125086844
00-0034857,J.Allen,2024_09_MIA_BUF,2024,9,BUF,MIA,7.0,0.0,2.0,2024-11-03,3.5,20.14887723567776,23.03537283954226,28.751263458093586,19.835918246176053,0.13855717020513603,0.23998972180357386,0.4545952020507628,0.572050713235088,5.9686622554171755,5.962613455453452,6.393576577826241,2.7103460261775556
00-0034857,J.Allen,2024_10_BUF_IND,2024,10,BUF,IND,50.0,1.0,8.0,2024-11-10,6.2,13.57443861783888,17.69024855969484,24.79648828389475,18.26841497494668,0.06927858510256801,0.15999314786904925,0.3719415289506241,0.483900790739524,3.9843311277085878,4.641742303635636,5.594744472766924,3.0428717609640232
00-0034857,J.Allen,2024_11_KC_BUF,2024,11,BUF,KC,55.0,1.0,12.0,2024-11-17,4.6,31.78721930891944,28.460165706463226,29.378944959550246,22.637751187677853,0.534639292551284,0.4399954319126995,0.4861339782323288,0.593388446011304,5.992165563854294,5.761161535757091,6.032063659536574,3.05048535682821
00-0034857,J.Allen,2024_13_SF_BUF,2024,13,BUF,SF,18.0,1.0,3.0,2024-12-01,6.0,43.39360965445972,37.30677713764215,34.03731860326838,23.179765322923444,0.767319646275642,0.6266636212751331,0.5795641640082689,0.5673203952554179,8.996082781927146,7.840774357171394,7.117142994166287,4.124998706136256
00-0034857,J.Allen,2024_14_BUF_LA,2024,14,BUF,LA,82.0,3.0,10.0,2024-12-08,8.2,30.69680482722986,30.871184758428104,31.12144249358322,21.488209250556398,0.883659823137821,0.7511090808500888,0.6560070432794927,0.503274247573392,5.998041390963573,6.22718290478093,6.368571540681508,4.225273520355747
00-0034857,J.Allen,2024_15_BUF_DET,2024,15,BUF,DET,68.0,2.0,11.0,2024-12-15,6.2,56.348402413614934,47.9141231722854,40.37208931293172,32.15560810045629,1.9418299115689104,1.5007393872333927,1.0821875808650394,1.2544802254856486,7.999020695481787,7.484788603187287,7.028831260557597,3.9819452255825905
00-0034857,J.Allen,2024_16_NE_BUF,2024,16,BUF,NE,30.0,0.0,6.0,2024-12-22,5.0,62.17420120680747,54.60941544819027,45.39534580148958,28.308822562166586,1.9709149557844552,1.6671595914889288,1.249062566162305,1.057537848834492,9.499510347740893,8.656525735458192,7.750861940456216,3.7420598099018627
00-0034857,J.Allen,2024_17_NYJ_BUF,2024,17,BUF,NYJ,17.0,1.0,5.0,2024-12-29,3.4,46.087100603403734,46.40627696546019,42.59619201940056,26.50449632901192,0.9854574778922276,1.111439727659286,1.0219602814055222,1.231930308681765,7.749755173870446,7.771017156972129,7.432523405827812,3.360900874322171
00-0034857,J.Allen,2024_19_DEN_BUF,2024,19,BUF,DEN,46.0,0.0,8.0,2025-01-12,5.8,31.543550301701867,36.604184643640124,37.9423389249641,26.618190869217873,0.9927287389461138,1.0742931517728573,1.0179675029681545,1.0075802005544678,6.374877586935224,6.847344771314754,6.990246422950028,3.1085950440798813
00-0034857,J.Allen,2024_20_BAL_BUF,2024,20,BUF,BAL,20.0,2.0,10.0,2025-01-19,2.0,38.771775150850935,39.736123095760085,39.40736821133426,22.290685340213557,0.4963643694730569,0.7161954345152383,0.83288250242849,0.9986975742414295,7.187438793467612,7.231563180876503,7.173837982413659,2.609847038493648
00-0034857,J.Allen,2024_21_BUF_KC,2024,21,BUF,KC,39.0,0.0,11.0,2025-01-26,3.5,29.385887575425468,33.157415397173395,35.878755809273486,20.96302115828928,1.2481821847365284,1.1441302896768255,1.0450856838051283,1.0595998445258625,8.593719396733807,8.15437545391767,7.687685621974811,2.5826002280152753
00-0034857,J.Allen,2025_01_BAL_BUF,2025,1,BUF,BAL,30.0,2.0,14.0,2025-09-07,2.1,34.192943787712736,35.1049435981156,36.44625475304194,17.391022663688272,0.6240910923682642,0.7627535264512171,0.8550701049314686,1.0545718605990106,9.796859698366903,9.102916969278446,8.289924599797573,2.5876392344639156
00-0034857,J.Allen,2025_02_BUF_NYJ,2025,2,BUF,NYJ,59.0,0.0,6.0,2025-09-14,9.8,32.09647189385637,33.40329573207707,35.27420843430704,14.452362892479893,1.312045546184132,1.1751690176341447,1.0632391767621105,1.0801068849257365,11.89842984918345,10.735277979518965,9.328120127107104,3.335479581890478
00-0034857,J.Allen,2025_03_MIA_BUF,2025,3,BUF,MIA,25.0,0.0,4.0,2025-09-18,6.2,45.54823594692819,41.935530488051384,39.58798871897849,17.923302437839403,0.656022773092066,0.7834460117560965,0.8699229628053631,1.0776693394750787,8.949214924591725,9.156851986345977,8.723007376723993,3.693984420732694
00-0034857,J.Allen,2025_04_NO_BUF,2025,4,BUF,NO,45.0,1.0,7.0,2025-09-28,6.4,35.274117973464094,36.29035365870092,36.93562713370967,17.14156450771326,0.328011386546033,0.5222973411707311,0.7117551513862062,0.9719794445019715,6.474607462295863,7.437901324230651,7.864278762774176,4.060048322460053
00-0034857,J.Allen,2025_05_NE_BUF,2025,5,BUF,NE,53.0,0.0,9.0,2025-10-05,5.9,40.13705898673204,39.19356910580062,38.40187674576246,14.729578145535115,0.6640056932730165,0.6815315607804875,0.7641633056796231,0.8325972628426429,6.737303731147931,7.291934216153768,7.707137169542507,3.32303991029418
00-0034857,J.Allen,2025_06_BUF_ATL,2025,6,BUF,ATL,42.0,0.0,6.0,2025-10-13,7.0,46.56852949336602,43.79571273720042,41.05608097380565,14.056657849824568,0.33200284663650825,0.4543543738536584,0.6252245228287825,0.7688752523732373,7.868651865573966,7.861289477435846,7.9422031387165966,2.8586960367993997
00-0034857,J.Allen,2025_08_BUF_CAR,2025,8,BUF,CAR,7.0,2.0,3.0,2025-10-26,2.3,44.28426474668301,43.19714182480028,41.227702614931886,11.516168537363106,0.16600142331825413,0.30290291590243895,0.5115473368599129,0.6719052235473502,6.934325932786983,7.240859651623897,7.589075295313578,2.531882358200648
00-0034857,J.Allen,2025_09_KC_BUF,2025,9,BUF,KC,19.0,2.0,6.0,2025-11-02,3.2,25.642132373341504,31.131427883200192,35.00448395767154,21.268953684230492,1.0830007116591271,0.8686019439349593,0.7821750937944743,1.049290027627803,4.9671629663934915,5.8272397677492656,6.754697968892927,3.0445725136258632
00-0034857,J.Allen,2025_10_BUF_MIA,2025,10,BUF,MIA,31.0,0.0,4.0,2025-11-09,7.8,22.321066186670752,27.08761858880013,32.09457778354944,18.505672407084234,1.5415003558295637,1.245734629289973,1.0035978040136606,1.0438290236562433,5.483581483196746,5.884826511832844,6.617480156366939,2.4875500215847133
00-0034857,J.Allen,2025_11_TB_BUF,2025,11,BUF,TB,40.0,3.0,6.0,2025-11-16,6.7,26.660533093335374,28.391745725866755,31.895563641085904,15.249868080291597,0.7707501779147818,0.8304897528599821,0.8211254760111768,1.0758516574888444,4.741790741598373,5.256551007888563,6.1415746733911325,2.2609943267063954
00-0034857,J.Allen,2025_12_BUF_HOU,2025,12,BUF,HOU,20.0,0.0,5.0,2025-11-20,4.0,33.33026654666769,32.26116381724451,33.36909752452483,13.873354865553173,1.885375088957391,1.553659835239988,1.217284480372781,1.4418998853612401,5.370895370799186,5.504367338592376,6.115833823683653,1.8872190911517819
00-0034857,J.Allen,2025_13_BUF_PIT,2025,13,BUF,PIT,38.0,1.0,8.0,2025-11-30,4.8,26.665133273333844,28.174109211496344,30.93835252006577,13.041217550250574,0.9426875444786955,1.0357732234933255,0.9959600293959116,1.4340734091516845,5.185447685399593,5.336244892394918,5.912954946650261,1.5636688132808203
00-0034857,J.Allen,2025_14_CIN_BUF,2025,14,BUF,CIN,78.0,1.0,9.0,2025-12-07,8.7,32.332566636666925,31.449406140997567,32.22228842550835,11.840657149681741,0.9713437722393478,1.023848815662217,0.9966945695057459,1.1710678206858602,6.5927238426997965,6.224163261596612,6.29241768362294,1.8976400293520341
